변수,6개,7개,8개,9개,10개,11개,12개,13개,14개,15개,16개,17개,18개,19개,20개,21개,22개,23개,24개,25개,26개,27개,28개,29개,30개,31개,32개,33개,34개,35개,36개,37개,38개,39개,40개,41개,42개,43개,44개,45개,46개,47개,48개,49개,50개
_2순위카드이용금액,1.620423126201498,1.6441611168058428,1.7010588764658183,1.7615070557442367,1.7630206732878178,1.7671989532753625,1.767650951378998,1.767886211457962,1.768455283026687,1.7686395651786704,1.7795994750828898,1.7803342316342747,2.5565862310625898,2.556654557279756,2.5618769515710813,2.569923984852719,2.570305608590833,2.570488935790523,2.5709116443841404,2.583711385153283,2.5838410013691897,2.5967145059827605,2.60393015438389,2.6040698700102296,2.60575984896392,2.9736229606548035,2.974655941268113,2.974740707076463,2.9750412990210124,2.975051911601616,2.9845688199666047,2.9849900426979934,2.9959610121453424,3.008238415871423,12.21799900384666,12.232260612256567,12.232561013740826,12.233784340230793,12.237000691892971,12.3592092643016,12.359279583155622,12.359690023152,12.36716750031358,12.378375004089634,12.378996869623151
쇼핑_도소매_이용금액,1.762938090702132,1.914629734719634,1.96564820815302,2.309213714057163,2.394959025784268,2.566134638712232,2.975845217489057,2.976312737513516,2.977533488453662,3.83795047110779,3.839371918280645,3.8491342462626585,3.866886065445166,3.8695585437901454,3.927910632531324,3.954613817977075,4.836577145748929,4.8841134995326,4.884463846929359,4.884510524607332,4.885028263829149,4.930657712515244,4.994896020315438,4.99770895313176,4.9994338196225785,5.125942978889134,5.144253590105792,5.146605410747072,5.154454246072743,5.154476976267648,5.1728790814739565,5.178426702658825,5.200906545198629,5.205184502497161,5.206151573740756,5.20690695913966,5.207222420674457,5.207252494286326,5.207352207931968,5.211155817705429,5.213104484983622,5.213880242288955,5.2138906290743545,5.214444775056748,5.21486590265534
_1순위교통업종_이용금액,2.016314087623118,2.054612563886959,2.159612986411108,2.1996931348095714,2.2042497439043185,2.2851364097132776,2.362286889208041,2.3666639854397284,2.3692016591832186,2.404277316147214,2.689680066829901,2.738779403832464,2.742044614050266,2.742729990353084,2.7440385916256056,2.744149837112909,2.75052929106588,2.750735633488176,2.750823749433319,2.754434460715556,2.756697991169362,2.766854906998927,2.7764771917380986,2.7841338789136554,2.784811168597786,2.7863632615457585,2.7880915949856413,2.788365765813206,2.791262339696795,2.791437718157355,2.791447109029569,2.79168333495484,2.799218034121974,2.8000720112556947,2.80829594406319,2.8086786999011437,2.809083742077147,2.8103069419867324,2.8108093008444195,2.812438873021429,2.812694841194433,2.812716562899191,2.8131366218966307,2.8131477485984795,2.813161789495115
연체입금원금_B0M,1.188976665654862,1.1953593564957188,1.1983383121358593,1.200752713717513,1.396401089716318,1.3964060868979031,1.403981537461448,1.448684257239688,1.452868276428298,1.453878262502395,1.454714090347665,1.470892701730543,1.4771325237805832,1.7529741806523096,1.7529744136776797,1.7594175526075384,1.7598919576549772,1.7675296639923572,2.478785042154903,2.75945896634509,2.7605946202786065,2.768800552512916,2.7847164941270885,2.785062528805727,3.4256546733584017,3.443658341910679,3.471568823379032,3.4786362803389173,3.5076653682481425,3.508177254419952,3.525347722347122,6.24458472909124,6.244630166128688,6.245820639578882,6.248681035918879,6.250813166598818,6.254196799249467,6.256064757338462,6.280989431666078,6.332182125036187,6.340183707322121,6.341289120049226,6.402735180524929,6.403558694261067,6.405371869663075
최대이용금액_일시불_R12M,1.6136866902635574,1.8274372408095605,1.8602607508501212,1.884983065113648,1.903891657164115,1.9796020969955288,2.3370630213457955,2.3410978431828204,2.579645479558065,2.593876920743271,2.59565354342364,2.6188475117313117,2.664963415614707,2.665168265326012,2.699268414386391,2.7085183331059084,2.708522971064027,4.103574433740765,4.103602176673859,4.103605410466202,4.192148250795708,4.235039641911311,4.235796530497115,4.365532479078512,4.3658137396476455,4.365830344962213,4.382050354081859,4.400644658517008,4.405815646950862,4.411803472293292,4.420359251304453,4.434067902658034,4.643141730709404,4.654756345092448,4.6569551616072085,4.659973641134157,4.665592087250166,4.667592479989955,4.667619728760129,4.669360976073367,4.669361672862303,4.669725989408211,4.67130965575874,4.671661809231598,4.671671944917825
잔액_일시불_B0M,1.604038439799795,1.640721891283047,1.7076574708017829,1.730464612851815,1.8355238941732777,1.8634126878846555,1.8744945801359716,1.8781024637184949,4.682109272013739,4.684273254792787,4.693295459584342,4.693311525273145,4.694049072561782,4.749299641756871,4.749335076574193,4.749535760844212,4.7501455568866175,4.97012033489264,4.97595827565622,4.983239419837132,5.258408777443939,5.260058584319943,5.30393662147159,11.966235078261612,11.969368572180205,11.974619627706652,11.99686833345068,12.023259588995296,12.023713169556556,12.027098426382436,12.032619894554552,12.034558808376056,12.095012984563654,12.12542906122757,12.15975296261695,12.177228844085468,12.177399196318625,12.185770804637452,12.189772472575727,12.192293563668072,12.198366587200915,12.199319984772488,12.201027279455234,12.202031789492803,12.20248304052278
정상입금원금_B5M,,2.1135726490272755,2.1846215915906013,2.236193960990498,2.853166992122282,2.859040480224025,2.918651809963183,4.372701782109616,4.413700218440432,4.417239268469474,4.419621176379458,4.4273016101628215,4.428215173872573,4.774595002724614,4.774759623363739,4.792465905104809,4.792715914363514,5.271900906203587,8.303327687361866,8.903803799150175,9.035559730955129,9.067542301372054,9.19229262142645,9.192602833647316,10.933375172900773,10.93897491519105,10.93900571946922,11.03186900942197,11.033684296284978,11.040523237682608,11.092576084913023,11.52790793218073,11.545451643952909,11.560471873414691,11.567939302225756,11.58373968185374,11.588111079150629,11.595393027682167,11.606067238580374,11.635263677188384,11.636696146840302,11.651157153054497,11.711774595136282,11.7301917686488,11.744095689968209
이용건수_신용_R12M,,,2.361722918203964,2.5365676203030056,2.536677940633978,2.780909666547521,2.805713809584792,2.809295863518402,2.80939267826146,2.992470281857194,3.027057383998554,3.1386842051524795,3.138699178789143,3.149246815314932,5.902898590526386,5.903091971610281,5.903973850860556,5.983121500270544,6.164031947929582,6.170969572446845,6.18003943694229,7.607792538166074,7.612843474743084,7.61843994944566,7.62467082603134,7.677566752001002,8.417018609237815,8.417223914765406,8.417232238636087,8.420433534065312,24.759527598096103,24.853307808205717,28.597128837234333,35.53738648309533,35.5836925198462,35.909438677808424,35.91617929094426,36.63510239653581,4773.45804027553,5138.276532317454,7723.302176651773,7723.31989917119,32361.14172623251,37250.62054079275,51709.64148324291
_1순위업종_이용금액,,,,2.679610528420006,2.726837220799463,2.8258507110205278,2.852855954891547,2.864967527412776,2.8668137421779463,3.277570537280029,3.285972837413804,3.3001362521214928,3.487739979398872,3.4936103259959466,3.493866312808721,3.4942081919249546,3.622747613967523,3.805965009022885,3.808722294585296,3.809729969699151,3.8384251618723817,3.8722253441779,3.88880533970054,3.888826011880253,3.8995794656503135,4.2808506775522055,4.303402405063727,4.303402510647997,4.304658538304363,4.305081063393889,4.310980469010018,4.311610179054189,4.329439119298532,4.330358723939296,4.338792922152569,4.3439660793298565,4.348657854531649,4.400405062190047,4.4388401926323535,4.5373306935364575,4.54561373934456,4.546186470745936,4.580968816634501,4.584642488493526,4.585649317214061
청구금액_B0,,,,,3.363058946054372,3.378605064362865,3.389987505824528,3.8789643990291673,3.915640988928201,3.918245535932951,3.9190466657527976,3.96808800508525,3.9741280634784535,6.380839288052979,6.384605691593404,6.428902965285073,6.429291279181404,6.588502955081688,6.713854763343974,9.810456353760683,10.029445521764345,10.038418281960103,10.183217932891557,10.189689205136556,10.2325963612334,10.26789903101457,10.278171454893194,17.49263944105336,18.473714356616025,18.4737658537056,18.474155029368237,18.753792212498567,18.80533046542912,18.807413289586584,18.808183232544952,18.85699856178052,18.857590797504493,18.88947768961644,18.89417818136817,18.89433345636176,18.904910670170555,18.910200199803143,18.917899849224323,18.930970522290032,18.931134801838144
